gps_time,lax,lay,laz,avx,avy,avz,x,y,z,w
1429447989.62718,-0.244430066599511,-0.154681534477416,-9.70522434622347,0.000386931234970689,-0.00140491058118641,0.00148503156378865,-0.00791747868061066,-0.0163607690483332,-0.677708625793457,0.735105812549591
1429447989.63218,-0.381784490836784,-0.157041979998443,-9.87851813538074,-0.00109785422682762,-0.0011799253989011,0.00235357135534286,-0.00792385637760162,-0.0163651779294014,-0.677711486816406,0.735103070735931
1429447989.64218,-0.322837759816833,-0.148604433920281,-9.85550083240867,-0.00101473100949079,-0.00301913707517087,-0.000239624307141639,-0.00793738197535276,-0.0163780599832535,-0.677718222141266,0.735096335411072
1429447989.65718,-0.333535642909259,-0.135456253332598,-9.75824106613994,-0.00152524444274604,0.00103526515886188,0.000505258503835648,-0.00793207064270973,-0.0163681525737047,-0.677723467350006,0.735091865062714
1429447989.66218,-0.348845695972256,-0.137341464291001,-9.9541996915698,-0.000965989718679339,0.000568204268347472,0.000557729625143111,-0.00792898517102003,-0.0163671690970659,-0.677733182907104,0.735082983970642
1429447989.67218,-0.25140016134046,-0.102943739322433,-9.65953811532557,-0.00124036590568721,0.00216036848723888,7.30450774426572e-05,-0.00791694037616253,-0.0163457971066236,-0.677732884883881,0.735083818435669
1429447989.68718,-0.335178624343313,-0.124949627629109,-9.9509579331696,-0.00159245182294399,8.31903307698667e-05,0.00126656692009419,-0.00791885331273079,-0.0163439977914095,-0.677736401557922,0.735080599784851
1429447989.69218,-0.188997444647737,-0.106463848873135,-9.62441361045241,-0.000444005359895527,-0.00201241089962423,0.00249104620888829,-0.00790909491479397,-0.0163353905081749,-0.677720785140991,0.735095322132111
1429447989.70218,-0.338767917539552,-0.149084846981522,-9.90070191013813,-0.00134411314502358,-0.00208600028418005,0.001457309583202,-0.00791255477815866,-0.0163416918367147,-0.677725195884705,0.735091090202332
1429447989.72218,-0.375574274552427,-0.152285460520582,-9.83546692916155,-0.00156408944167197,-0.000846562616061419,0.000639240781310946,-0.00792025774717331,-0.0163473896682262,-0.677726745605469,0.735089421272278
1429447989.73218,-0.346564855026081,-0.142336496099317,-9.88153309928775,-0.000302327942335978,-0.00271214335225523,0.000680026307236403,-0.007931356318295,-0.0163637734949589,-0.677736461162567,0.735080003738403
1429447989.74718,-0.328994455815665,-0.11739312956864,-9.71712754998505,-0.00200987188145518,0.00219633453525603,0.00117042800411582,-0.0079280324280262,-0.0163409896194935,-0.677737891674042,0.735079228878021
