gps_time,roll,pitch,yaw
1429448347.2937,0,-0.790863,160.6248
1429448347.30395,0,-1.083435,158.8633
1429448347.39991,0,-0.2256165,157.716
1429448347.50496,0,-1.81546,156.215
1429448347.59821,0,-0.661438,154.8516
1429448347.69619,0,-0.2647705,153.5637
1429448347.79795,0,-1.137756,152.1243
1429448347.8976,0,-1.288971,150.4045
1429448348.01952,0,-0.5499573,149.2974
1429448348.24505,0,-1.943024,147.5556
1429448348.25056,0,-2.382233,145.9858
1429448348.29801,0,-2.090393,144.545
1429448348.39744,0,-1.873383,143.1151
1429448348.50114,0,-1.871948,141.9466
1429448348.59939,0,-1.930725,140.3347
1429448348.69618,0,-1.42688,138.8008
1429448348.79954,0,-2.091736,137.446
1429448348.89592,0,-1.453949,136.2848
1429448349.02466,0,-1.873444,134.7214
1429448349.22981,0,-1.422455,133.5365
1429448349.24357,0,-1.36145,131.9545
1429448349.2971,0,-2.075958,130.5976
1429448349.39779,0,-0.7371826,129.4588
1429448349.50175,0,-1.139771,127.6564
1429448349.60013,0,-1.601318,126.2355
1429448349.69602,0,-2.119629,124.8482
1429448349.79783,0,-2.237793,123.0357
1429448349.89673,0,-0.4668274,122.7166
1429448350.03483,0,-1.490265,121.2362
1429448350.25968,0,-1.80246,119.9612
1429448350.27539,0,-2.122192,118.7966
1429448350.29755,0,-2.827911,117.1128
1429448350.39829,0,-2.618042,115.9655
1429448350.50229,0,-1.677246,115.0566
1429448350.60147,0,-2.73349,113.3213
1429448350.69631,0,-1.81897,112.6946
1429448350.79948,0,-2.481445,111.0059
1429448350.89841,0,-2.581726,110.0318
1429448351.01869,0,-2.681427,108.5216
1429448351.23164,0,-3.362885,107.0364
1429448351.24047,0,-2.238892,106.1686
1429448351.30201,0,-3.024719,104.2944
1429448351.39826,0,-3.943207,102.7068
1429448351.50263,0,-3.58313,101.2092
1429448351.60189,0,-2.985962,100.2489
1429448351.69861,0,-3.504333,98.61208
1429448351.79807,0,-3.09317,97.29486
1429448351.89654,0,-3.894348,95.54068
1429448352.02586,0,-3.84552,94.3672
1429448352.22266,0,-3.738312,92.5447
1429448352.22872,0,-3.609863,91.22423
1429448352.2983,0,-2.898926,90.01118
1429448352.39814,0,-3.743744,88.26116
1429448352.50381,0,-2.82428,87.51171
1429448352.60149,0,-3.031219,85.35732
1429448352.69845,0,-3.601227,83.82162
1429448352.79807,0,-3.666382,82.33417
1429448352.89707,0,-2.897003,80.40184
1429448353.03207,0,-3.665039,79.38348
1429448353.2149,0,-3.810333,77.33565
1429448353.22302,0,-4.24176,75.56807
1429448353.29663,0,-4.126648,73.83556
1429448353.39817,0,-4.591431,71.83893
1429448353.50624,0,-4.742889,70.23637
1429448353.60094,0,-4.808594,68.54443
1429448353.69717,0,-4.039856,66.80049
1429448353.79966,0,-4.248077,64.60677
1429448353.90243,0,-3.992554,62.98987
1429448354.02709,0,-4.782471,60.57718
1429448354.26128,0,-4.723083,59.21851
1429448354.26748,0,-5.442902,57.03165
1429448354.29611,0,-4.979919,55.00789
1429448354.39884,0,-4.676483,53.35535
1429448354.50203,0,-5.222351,51.23298
1429448354.60215,0,-4.628479,49.39984
1429448354.69736,0,-4.875244,47.85054
1429448354.80273,0,-5.31192,45.58506
1429448354.89617,0,-3.992676,43.89548
1429448355.02702,0,-5.208344,42.10042
1429448355.2484,0,-5.401947,40.24786
1429448355.25803,0,-4.675629,38.48226
1429448355.30081,0,-4.281494,36.64861
1429448355.39848,0,-4.469238,35.22437
1429448355.50185,0,-3.948761,33.14853
1429448355.60109,0,-3.994659,31.68102
1429448355.69945,0,-3.979065,29.97535
1429448355.79903,0,-4.138245,28.27677
1429448355.89676,0,-4.114532,26.95792
1429448356.03116,0,-4.183319,25.34689
1429448356.23993,0,-3.457947,23.85879
1429448356.24526,0,-3.770966,22.74016
1429448356.30362,0,-3.724152,21.03866
1429448356.39829,0,-4.057953,19.83954
1429448356.50079,0,-3.135345,18.97647
1429448356.60028,0,-3.392365,18.1492
1429448356.69749,0,-3.404755,17.18436
1429448356.80061,0,-2.974518,16.36646
1429448356.89585,0,-3.126221,15.64909
1429448357.02032,0,-3.284332,15.1042
1429448357.22932,0,-2.382141,14.40447
1429448357.23523,0,-2.495453,14.0528
1429448357.29676,0,-2.294922,13.77659
1429448357.39726,0,-2.761932,13.51187
1429448357.5016,0,-3.000427,13.42671
1429448357.60161,0,-3.14978,13.10383
1429448357.69758,0,-3.082397,12.65906
1429448357.79795,0,-3.216339,12.94666
1429448357.89604,0,-2.712311,12.91732
1429448358.02041,0,-2.950256,12.78664
1429448358.20372,0,-3.108429,12.77854
1429448358.20858,0,-2.967285,12.67406
1429448358.2987,0,-3.308594,12.72632
1429448358.39731,0,-2.754974,12.57817
1429448358.50096,0,-3.364532,12.57122
1429448358.59789,0,-3.564606,12.8089
1429448358.69717,0,-3.333527,12.47432
1429448358.79676,0,-3.374054,12.61544
1429448358.89714,0,-3.866119,12.48107
1429448359.02755,0,-3.326324,12.67572
1429448359.23419,0,-3.474487,12.95031
1429448359.24391,0,-2.942505,13.08171
1429448359.2982,0,-3.537842,12.58849
1429448359.39891,0,-3.459839,12.93481
1429448359.50261,0,-2.850128,12.97021
1429448359.59897,0,-3.984558,12.93643
1429448359.69567,0,-3.694489,12.80686
1429448359.80636,0,-3.724762,12.94209
1429448359.89662,0,-3.936859,12.71458
1429448360.03424,0,-3.386993,13.14687
1429448360.23541,0,-3.556915,12.93334
1429448360.24218,0,-3.76001,12.82956
1429448360.29664,0,-2.955048,13.28184
1429448360.40136,0,-2.371887,13.1368
1429448360.50149,0,-2.346466,13.09178
1429448360.60103,0,-2.831604,13.28006
1429448360.69802,0,-2.395844,13.32163
1429448360.79863,0,-2.512085,12.92125
1429448360.89804,0,-2.871826,13.2865
1429448361.02649,0,-3.65152,13.1308
1429448361.2481,0,-3.226562,13.32812
1429448361.25409,0,-3.82605,12.80229
1429448361.3032,0,-3.810699,12.63152
1429448361.40056,0,-3.732147,12.81641
1429448361.50101,0,-4.720734,12.4462
1429448361.60117,0,-3.868622,12.66529
1429448361.69856,0,-3.574371,12.65391
1429448361.79891,0,-3.105347,12.93182
1429448361.898,0,-3.432007,12.96162
1429448362.02334,0,-3.211487,12.83821
1429448362.27576,0,-3.935913,12.67276
1429448362.3036,0,-3.542603,12.89908
1429448362.31334,0,-3.425385,12.7113
1429448362.40242,0,-3.398407,12.7768
1429448362.5046,0,-3.597687,12.63345
1429448362.60016,0,-3.623413,12.70713
1429448362.69732,0,-2.661285,13.02437
1429448362.79942,0,-3.201294,13.04771
1429448362.89644,0,-2.519775,13.20878
1429448363.02164,0,-3.336334,12.87575
1429448363.27293,0,-2.738678,12.7593
1429448363.28352,0,-2.998962,12.55927
1429448363.30044,0,-2.707581,13.03275
1429448363.40046,0,-3.355042,12.7696
1429448363.50141,0,-3.391418,12.67125
1429448363.60053,0,-2.592468,12.75678
1429448363.69673,0,-2.77829,12.58285
1429448363.79905,0,-3.005127,12.72367
1429448363.89706,0,-2.93634,12.78678
1429448364.02287,0,-4.098694,12.17316
1429448364.24557,0,-3.388916,12.53315
1429448364.26471,0,-3.124878,12.8422
1429448364.30134,0,-3.298645,12.86831
1429448364.40159,0,-3.108459,12.52337
1429448364.5038,0,-2.442383,12.93575
1429448364.59961,0,-3.848877,12.17061
1429448364.69842,0,-3.399048,12.40324
1429448364.79816,0,-2.810242,12.59202
